CHORD_ROOT;CHORD_TYPE;CHORD_STRUCTURE;FINGER_POSITIONS;NOTE_NAMES
A#;maj9;"1;3;5;7;9";x,1,0,4,2,3;A#,C##,G##,B#,E#
A#;maj9;"1;3;5;7;9";2,1,4,1,x,x;A#,C##,G##,B#
A#;maj9;"1;3;5;7;9";x,x,4,1,2,1;A#,B#,E#,G##
A#;m;"1;b3;5";x,1,3,4,2,1;A#,E#,A#,C#,E#
A#;m;"1;b3;5";1,3,4,1,1,1;A#,E#,A#,C#,E#,A#
A#;m;"1;b3;5";x,x,1,3,4,2;A#,E#,A#,C#
A#;m;"1;b3;5";x,x,3,1,1,x;A#,C#,E#
A#;7b5;"1;3;b5;b7";x,1,2,1,3,x;A#,E,G#,C##
A#;7b5;"1;3;b5;b7";x,x,2,4,1,3;G#,C##,E,A#
A#;7b5;"1;3;b5;b7";x,x,1,2,3,4;A#,E,G#,C##
A#;m7;"1;b3;5;b7";x,1,3,1,2,1;A#,E#,G#,C#,E#
A#;m7;"1;b3;5;b7";1,3,1,1,4,1;A#,E#,G#,C#,G#,A#
A#;m7;"1;b3;5;b7";x,x,1,4,2,3;A#,E#,G#,C#
A#;dim;"1;b3;b5";x,1,2,3,4,x;A#,E,A#,C#
A#;dim;"1;b3;b5";x,x,4,3,1,2;A#,C#,E,A#
A#;dim;"1;b3;b5";1,2,3,1,x,x;A#,E,A#,C#
A#;6;"1;3;5;6";x,1,3,3,3,3;A#,E#,A#,C##,F##
A#;6;"1;3;5;6";1,x,3,2,4,1;A#,A#,C##,F##,A#
A#;6;"1;3;5;6";x,x,1,3,1,4;A#,E#,F##,C##
A#;7(#5);"1;3;#5;b7";x,1,4,1,3,2;A#,E##,G#,C##,E##
A#;7(#5);"1;3;#5;b7";1,x,1,2,3,1;A#,G#,C##,E##,A#
A#;7(#5);"1;3;#5;b7";x,1,2,1,1,x;G#,C##,E##,A#
A#;7sus4;"1;4;5;b7";x,1,3,1,4,1;A#,E#,G#,D#,E#
A#;7sus4;"1;4;5;b7";1,3,1,4,1,1;A#,E#,G#,D#,E#,A#
A#;7sus4;"1;4;5;b7";x,x,1,3,2,4;A#,E#,G#,D#
A#;maj7;"1;3;5;7";x,1,3,2,4,1;A#,E#,G##,C##,E#
A#;maj7;"1;3;5;7";1,4,2,3,1,x;A#,E#,G##,C##,E#
A#;maj7;"1;3;5;7";x,4,3,1,1,1;A#,C##,E#,G##,C##
A#;5;"1;5";1,3,x,x,x,x;A#,E#
A#;m6;"1;b3;5;6";x,1,3,0,2,4;A#,E#,F##,C#,F##
A#;m6;"1;b3;5;6";1,x,3,1,4,1;A#,A#,C#,F##,A#
A#;m6;"1;b3;5;6";x,x,1,3,1,2;A#,E#,F##,C#
A#;7(b9);"1;3;5;b7;b9";x,1,0,2,x,3;A#,C##,G#,E#
A#;7(b9);"1;3;5;b7;b9";3,2,4,1,x,x;A#,C##,G#,B
A#;7(b9);"1;3;5;b7;b9";1,x,1,2,1,3;A#,G#,C##,E#,B
A#;m9;"1;b3;5;b7;9";3,1,4,2,x,x;A#,C#,G#,B#
A#;m9;"1;b3;5;b7;9";1,3,1,1,1,4;A#,E#,G#,C#,E#,B#
A#;m9;"1;b3;5;b7;9";x,2,1,3,4,x;A#,C#,G#,B#
A#;sus4;"1;4;5";x,1,2,3,4,1;A#,E#,A#,D#,E#
A#;sus4;"1;4;5";x,x,1,1,2,4;E#,A#,D#,A#
A#;sus4;"1;4;5";1,1,3,4,1,1;A#,D#,A#,D#,E#,A#
A#;6/9;"1;3;5;6;9";x,1,0,0,2,3;A#,C##,F##,B#,E#
A#;6/9;"1;3;5;6;9";2,1,1,1,3,4;A#,C##,F##,B#,E#,A#
A#;6/9;"1;3;5;6;9";x,x,2,1,3,4;A#,C##,F##,B#
C#;13;"1;3;5;b7;9;11;13";x,2,1,3,3,4;C#,E#,B,D#,A#
C#;13;"1;3;5;b7;9;11;13";3,x,4,2,1,1;C#,B,D#,E#,A#
C#;13;"1;3;5;b7;9;11;13";1,x,1,2,3,4;C#,B,E#,A#,D#
C#;7(#9);"1;3;5;b7;#9";x,2,1,3,4,x;C#,E#,B,D##
C#;7(#9);"1;3;5;b7;#9";2,1,3,3,3,x;C#,E#,B,D##,G#
C#;7(#9);"1;3;5;b7;#9";1,3,1,2,1,4;C#,G#,B,E#,G#,D##
C#;9;"1;3;5;b7;9";x,2,1,3,4,x;C#,E#,B,D#
C#;9;"1;3;5;b7;9";x,1,3,2,4,x;E#,B,D#,G#
C#;9;"1;3;5;b7;9";x,x,2,1,3,4;B,D#,G#,C#
C#;9;"1;3;5;b7;9";x,2,1,3,3,3;C#,E#,B,D#,G#
C#;9;"1;3;5;b7;9";x,x,3,2,1,4;B,D#,E#,C#
C#;9b5;"1;3;b5;b7;9";1,2,1,3,4,1;G,C#,E#,B,D#,G
C#;9b5;"1;3;b5;b7;9";2,1,3,1,1,4;C#,E#,B,D#,G,C#
C#;9b5;"1;3;b5;b7;9";x,x,1,2,3,1;C#,G,B,D#
C#;7;"1;3;5;b7";x,3,2,4,1,x;C#,E#,B,C#
C#;7;"1;3;5;b7";x,1,3,1,4,1;C#,G#,B,E#,G#
C#;7;"1;3;5;b7";1,3,1,2,4,1;C#,G#,B,E#,B,C#
C#;7;"1;3;5;b7";x,x,2,3,1,4;E#,B,C#,G#
C#;7;"1;3;5;b7";x,2,1,3,0,4;C#,E#,B,B,G#
C#;7;"1;3;5;b7";2,x,3,4,1,x;G#,E#,B,C#
C#;7;"1;3;5;b7";1,3,1,2,1,1;C#,G#,B,E#,G#,C#
C#;7;"1;3;5;b7";x,2,1,3,x,x;C#,E#,B
C#;7;"1;3;5;b7";1,x,1,2,x,x;C#,B,E#
C#;7;"1;3;5;b7";x,x,1,1,1,2;G#,C#,E#,B
C#;7;"1;3;5;b7";x,x,1,3,2,4;C#,G#,B,E#
C#;dim7;"1;b3;b5;bb7";2,4,1,3,x,x;G,C#,E,Bb
C#;dim7;"1;b3;b5;bb7";x,2,3,1,4,x;E,Bb,C#,G
C#;dim7;"1;b3;b5;bb7";x,x,1,3,2,4;C#,G,Bb,E
C#;dim7;"1;b3;b5;bb7";2,x,1,3,x,x;C#,Bb,E
C#;dim7;"1;b3;b5;bb7";3,x,1,4,2,x;G,E,Bb,C#
C#;dim7;"1;b3;b5;bb7";x,3,1,2,x,x;C#,E,Bb
C#;dim7;"1;b3;b5;bb7";x,2,3,1,4,1;C#,G,Bb,E,G
C#;aug;"1;3;#5";x,3,2,1,1,x;C#,E#,G##,C#
C#;aug;"1;3;#5";4,3,2,1,x,x;G##,C#,E#,G##
C#;aug;"1;3;#5";x,x,4,2,3,1;C#,E#,G##,C#
C#;maj;"1;3;5";x,4,3,1,2,1;C#,E#,G#,C#,E#
C#;maj;"1;3;5";x,1,3,3,3,x;C#,G#,C#,E#
C#;maj;"1;3;5";1,3,4,2,1,1;C#,G#,C#,E#,G#,C#
C#;maj;"1;3;5";x,x,3,3,3,x;G#,C#,E#
C#;maj;"1;3;5";x,1,2,3,4,1;C#,G#,C#,E#,G#
C#;11;"1;3;5;b7;9;11";x,1,1,1,1,1;C#,F#,B,D#,G#
C#;11;"1;3;5;b7;9;11";4,x,3,2,1,1;C#,B,D#,F#,B
C#;11;"1;3;5;b7;9;11";x,x,1,1,2,1;C#,F#,B,D#
C#;maj9;"1;3;5;7;9";x,2,1,4,3,x;C#,E#,B#,D#
C#;maj9;"1;3;5;7;9";2,1,3,1,x,x;C#,E#,B#,D#
C#;maj9;"1;3;5;7;9";x,x,4,1,2,1;C#,D#,G#,B#
C#;m11;"1;b3;5;b7;9;11";x,1,1,1,2,1;C#,F#,B,E,G#
C#;m11;"1;b3;5;b7;9;11";2,x,3,4,1,x;C#,B,E,F#
C#;m11;"1;b3;5;b7;9;11";0,1,1,1,2,1;E,C#,F#,B,E,G#
C#;m11;"1;b3;5;b7;9;11";x,1,1,1,2,x;C#,F#,B,E
C#;m11;"1;b3;5;b7;9;11";x,2,1,3,1,1;C#,E,B,C#,F#
C#;m11;"1;b3;5;b7;9;11";x,2,1,3,4,1;C#,E,B,D#,F#
C#;m11;"1;b3;5;b7;9;11";2,x,3,4,1,1;C#,B,E,F#,B
C#;m7b5;"1;b3;b5;b7";x,3,1,0,0,0;C#,E,G,B,E
C#;m7b5;"1;b3;b5;b7";x,1,3,2,4,0;C#,G,B,E,E
C#;m7b5;"1;b3;b5;b7";2,x,3,4,1,x;C#,B,E,G
C#;m7b5;"1;b3;b5;b7";x,1,3,2,4,x;C#,G,B,E
C#;m7b5;"1;b3;b5;b7";x,x,1,3,3,3;C#,G,B,E
C#;m;"1;b3;5";x,1,3,4,2,1;C#,G#,C#,E,G#
C#;m;"1;b3;5";1,3,4,1,1,1;C#,G#,C#,E,G#,C#
C#;m;"1;b3;5";x,x,1,3,4,2;C#,G#,C#,E
C#;m;"1;b3;5";x,1,3,4,2,x;C#,G#,C#,E
C#;m;"1;b3;5";x,3,4,1,1,x;G#,C#,E,G#
C#;m;"1;b3;5";x,3,1,x,x,x;C#,E
C#;m;"1;b3;5";3,1,x,x,x,x;C#,E
C#;m;"1;b3;5";x,x,3,1,1,1;C#,E,G#,C#
C#;7b5;"1;3;b5;b7";x,1,2,1,3,x;C#,G,B,E#
C#;7b5;"1;3;b5;b7";x,x,2,4,1,3;B,E#,G,C#
C#;7b5;"1;3;b5;b7";1,3,2,4,x,x;C#,G,B,E#
C#;9(#11);"1;3;5;b7;9;#11";x,2,1,3,4,1;C#,E#,B,D#,F##
C#;m7;"1;b3;5;b7";x,3,1,4,1,x;C#,E,B,C#
C#;m7;"1;b3;5;b7";x,1,3,1,2,1;C#,G#,B,E,G#
C#;m7;"1;b3;5;b7";1,3,1,1,4,1;C#,G#,B,E,B,C#
C#;m7;"1;b3;5;b7";1,3,1,1,1,1;C#,G#,B,E,G#,C#
C#;m7;"1;b3;5;b7";2,x,3,3,x,x;C#,B,E
C#;m7;"1;b3;5;b7";x,2,1,3,x,x;C#,E,B
C#;m7;"1;b3;5;b7";2,x,3,3,3,x;C#,B,E,G#
C#;m7;"1;b3;5;b7";x,1,x,2,4,3;C#,B,E,G#
C#;m7;"1;b3;5;b7";2,1,3,4,0,0;C#,E,B,E,B,E
C#;m7;"1;b3;5;b7";x,2,1,3,4,x;C#,E,B,E
C#;m7;"1;b3;5;b7";x,1,3,1,2,x;C#,G#,B,E
C#;m7;"1;b3;5;b7";x,1,3,4,0,0;C#,G#,C#,B,E
C#;m7;"1;b3;5;b7";x,1,x,1,2,4;C#,B,E,B
C#;m7;"1;b3;5;b7";x,1,x,2,3,x;C#,B,E
C#;m7;"1;b3;5;b7";1,1,3,4,0,0;G#,C#,G#,C#,B,E
C#;m7;"1;b3;5;b7";x,3,x,x,0,0;C#,B,E
C#;m7;"1;b3;5;b7";1,x,1,1,1,1;C#,B,E,G#,C#
C#;dim;"1;b3;b5";x,1,2,4,3,x;C#,G,C#,E
C#;dim;"1;b3;b5";x,x,4,3,1,2;C#,E,G,C#
C#;dim;"1;b3;b5";1,2,3,1,x,x;C#,G,C#,E
C#;dim;"1;b3;b5";x,2,x,0,x,1;C#,G,G
C#;dim;"1;b3;b5";x,3,1,x,x,x;C#,E
C#;6;"1;3;5;6";x,4,2,3,1,x;C#,E#,A#,C#
C#;6;"1;3;5;6";x,1,3,3,3,3;C#,G#,C#,E#,A#
C#;6;"1;3;5;6";1,x,3,2,4,1;C#,C#,E#,A#,C#
C#;7(#5);"1;3;#5;b7";x,1,2,1,1,x;B,E#,G##,C#
C#;7(#5);"1;3;#5;b7";x,1,4,1,3,2;C#,G##,B,E#,G##
C#;7(#5);"1;3;#5;b7";1,x,1,2,3,1;C#,B,E#,G##,C#
C#;7sus4;"1;4;5;b7";x,2,3,4,1,x;C#,F#,B,C#
C#;7sus4;"1;4;5;b7";x,1,3,1,4,1;C#,G#,B,F#,G#
C#;7sus4;"1;4;5;b7";1,3,1,4,1,1;C#,G#,B,F#,G#,C#
C#;7sus4;"1;4;5;b7";1,x,1,4,x,x;C#,B,F#
C#;maj7;"1;3;5;7";x,4,3,1,1,1;C#,E#,G#,B#,E#
C#;maj7;"1;3;5;7";x,1,3,2,4,1;C#,G#,B#,E#,G#
C#;maj7;"1;3;5;7";x,x,4,3,2,1;C#,E#,G#,B#
C#;5;"1;5";x,1,3,x,x,x;C#,G#
C#;5;"1;5";x,1,3,4,x,x;C#,G#,C#
C#;5;"1;5";1,1,3,x,x,x;G#,C#,G#
C#;5;"1;5";1,3,4,x,x,x;C#,G#,C#
C#;5;"1;5";x,x,1,3,4,x;C#,G#,C#
C#;m6;"1;b3;5;6";x,3,1,2,1,x;C#,E,A#,C#
C#;m6;"1;b3;5;6";x,1,x,3,2,4;C#,C#,E,A#
C#;m6;"1;b3;5;6";1,x,3,1,4,1;C#,C#,E,A#,C#
C#;m6;"1;b3;5;6";3,1,2,x,x,x;C#,E,A#
C#;7(b9);"1;3;5;b7;b9";x,2,1,3,1,x;C#,E#,B,D
C#;7(b9);"1;3;5;b7;b9";3,2,4,1,x,x;C#,E#,B,D
C#;7(b9);"1;3;5;b7;b9";1,x,1,2,1,3;C#,B,E#,G#,D
C#;m9;"1;b3;5;b7;9";x,2,1,3,4,x;C#,E,B,D#
C#;m9;"1;b3;5;b7;9";3,1,4,2,x,x;C#,E,B,D#
C#;m9;"1;b3;5;b7;9";1,3,1,1,1,4;C#,G#,B,E,G#,D#
C#;m9;"1;b3;5;b7;9";x,x,1,1,1,4;B,E,G#,D#
C#;m9;"1;b3;5;b7;9";2,x,1,3,4,x;G#,E,B,D#
C#;m9;"1;b3;5;b7;9";1,x,1,1,1,4;C#,B,E,G#,D#
C#;sus4;"1;4;5";x,1,2,3,4,1;C#,G#,C#,F#,G#
C#;sus4;"1;4;5";x,x,1,1,2,4;G#,C#,F#,C#
C#;sus4;"1;4;5";1,1,3,4,1,1;C#,F#,C#,F#,G#,C#
C#;6/9;"1;3;5;6;9";x,2,1,1,3,4;C#,E#,A#,D#,G#
C#;6/9;"1;3;5;6;9";2,1,1,1,3,4;C#,E#,A#,D#,G#,C#
C#;6/9;"1;3;5;6;9";x,x,2,1,3,4;C#,E#,A#,D#
D#;13;"1;3;5;b7;9;11;13";x,2,1,3,3,4;D#,F##,C#,E#,B#
D#;13;"1;3;5;b7;9;11;13";3,x,4,2,1,1;D#,C#,E#,F##,B#
D#;13;"1;3;5;b7;9;11;13";1,x,1,2,3,4;D#,C#,F##,B#,E#
D#;7(#9);"1;3;5;b7;#9";x,x,1,0,3,4;D#,F##,C#,E##
D#;7(#9);"1;3;5;b7;#9";x,2,1,3,4,x;D#,F##,C#,E##
D#;7(#9);"1;3;5;b7;#9";1,3,1,2,1,4;D#,A#,C#,F##,A#,E##
D#;9;"1;3;5;b7;9";x,2,1,3,4,x;D#,F##,C#,E#
D#;9;"1;3;5;b7;9";x,1,3,2,4,x;F##,C#,E#,A#
D#;9;"1;3;5;b7;9";x,x,2,1,3,4;C#,E#,A#,D#
D#;9b5;"1;3;b5;b7;9";x,x,1,2,3,1;D#,A,C#,E#
D#;9b5;"1;3;b5;b7;9";1,2,1,3,4,1;A,D#,F##,C#,E#,A
D#;9b5;"1;3;b5;b7;9";2,1,3,1,1,4;D#,F##,C#,E#,A,D#
D#;7;"1;3;5;b7";x,3,2,4,1,x;D#,F##,C#,D#
D#;7;"1;3;5;b7";x,1,3,1,4,1;D#,A#,C#,F##,A#
D#;7;"1;3;5;b7";1,3,1,2,4,1;D#,A#,C#,F##,C#,D#
D#;7;"1;3;5;b7";x,2,1,3,x,x;D#,F##,C#
D#;dim7;"1;b3;b5;bb7";2,4,1,3,x,x;A,D#,F#,C
D#;dim7;"1;b3;b5;bb7";x,2,3,1,4,x;F#,C,D#,A
D#;dim7;"1;b3;b5;bb7";x,x,1,3,2,4;C,F#,A,D#
D#;dim7;"1;b3;b5;bb7";x,2,3,1,4,1;D#,A,C,F#,A
D#;dim7;"1;b3;b5;bb7";3,x,1,4,2,x;D#,C,F#,A
D#;dim7;"1;b3;b5;bb7";x,0,1,3,2,4;A,F#,C,D#,A
D#;aug;"1;3;#5";x,3,2,0,0,x;A##,D#,F##,A##
D#;aug;"1;3;#5";4,3,2,0,x,x;F##,A##,D#,F##
D#;aug;"1;3;#5";x,x,4,2,3,1;D#,F##,A##,D#
D#;maj;"1;3;5";x,4,3,1,2,1;D#,F##,A#,D#,F##
D#;maj;"1;3;5";x,1,3,3,3,x;D#,A#,D#,F##
D#;maj;"1;3;5";1,3,4,2,1,1;D#,A#,D#,F##,A#,D#
D#;11;"1;3;5;b7;9;11";x,x,1,1,2,1;D#,G#,C#,E#
D#;11;"1;3;5;b7;9;11";x,1,1,1,1,1;D#,G#,C#,E#,A#
D#;11;"1;3;5;b7;9;11";4,x,3,2,1,1;D#,C#,E#,G#,C#
D#;maj9;"1;3;5;7;9";x,x,1,0,4,2;D#,F##,C##,E#
D#;maj9;"1;3;5;7;9";x,2,1,4,3,x;D#,F##,C##,E#
D#;maj9;"1;3;5;7;9";x,x,4,1,2,1;D#,E#,A#,C##
D#;m11;"1;b3;5;b7;9;11";x,1,1,1,2,1;D#,G#,C#,F#,A#
D#;m;"1;b3;5";x,x,3,2,4,1;F#,A#,D#,F#
D#;m;"1;b3;5";x,1,3,4,2,1;D#,A#,D#,F#,A#
D#;m;"1;b3;5";1,3,4,1,1,1;D#,A#,D#,F#,A#,D#
D#;7b5;"1;3;b5;b7";x,x,1,2,3,4;D#,A,C#,F##
D#;7b5;"1;3;b5;b7";x,1,2,1,3,x;D#,A,C#,F##
D#;7b5;"1;3;b5;b7";x,x,2,4,1,3;C#,F##,A,D#
D#;m7;"1;b3;5;b7";x,3,1,4,1,x;D#,F#,C#,D#
D#;m7;"1;b3;5;b7";x,1,3,1,2,1;D#,A#,C#,F#,A#
D#;m7;"1;b3;5;b7";1,3,1,1,4,1;D#,A#,C#,F#,C#,D#
D#;dim;"1;b3;b5";x,x,1,2,3,4;D#,A,D#,F#
D#;dim;"1;b3;b5";x,1,2,3,4,x;D#,A,D#,F#
D#;dim;"1;b3;b5";x,x,4,3,1,2;D#,F#,A,D#
D#;6;"1;3;5;6";x,4,2,3,1,x;D#,F##,B#,D#
D#;6;"1;3;5;6";x,1,3,3,3,3;D#,A#,D#,F##,B#
D#;6;"1;3;5;6";1,x,3,2,4,1;D#,D#,F##,B#,D#
D#;7(#5);"1;3;#5;b7";x,1,2,1,1,x;C#,F##,A##,D#
D#;7(#5);"1;3;#5;b7";x,1,4,1,3,2;D#,A##,C#,F##,A##
D#;7(#5);"1;3;#5;b7";1,x,1,2,3,1;D#,C#,F##,A##,D#
D#;7sus4;"1;4;5;b7";x,2,3,4,1,x;D#,G#,C#,D#
D#;7sus4;"1;4;5;b7";x,1,3,1,4,1;D#,A#,C#,G#,A#
D#;7sus4;"1;4;5;b7";1,3,1,4,1,1;D#,A#,C#,G#,A#,D#
D#;maj7;"1;3;5;7";x,4,3,1,1,1;D#,F##,A#,C##,F##
D#;maj7;"1;3;5;7";x,1,3,2,4,1;D#,A#,C##,F##,A#
D#;maj7;"1;3;5;7";x,x,4,3,2,1;D#,F##,A#,C##
D#;5;"1;5";x,1,3,4,x,x;D#,A#,D#
D#;5;"1;5";x,1,3,x,x,x;D#,A#
D#;5;"1;5";1,1,3,x,x,x;A#,D#,A#
D#;m6;"1;b3;5;6";x,3,1,2,1,x;D#,F#,B#,D#
D#;m6;"1;b3;5;6";x,1,x,3,2,4;D#,D#,F#,B#
D#;m6;"1;b3;5;6";1,x,3,1,4,1;D#,D#,F#,B#,D#
D#;7(b9);"1;3;5;b7;b9";x,x,1,0,3,0;D#,F##,C#,E
D#;7(b9);"1;3;5;b7;b9";x,2,1,3,1,x;D#,F##,C#,E
D#;7(b9);"1;3;5;b7;b9";1,x,1,2,1,3;D#,C#,F##,A#,E
D#;m9;"1;b3;5;b7;9";x,2,1,3,4,x;D#,F#,C#,E#
D#;m9;"1;b3;5;b7;9";3,1,4,2,x,x;D#,F#,C#,E#
D#;m9;"1;b3;5;b7;9";1,3,1,1,1,4;D#,A#,C#,F#,A#,E#
D#;sus4;"1;4;5";x,3,4,1,2,x;D#,G#,A#,D#
D#;sus4;"1;4;5";x,1,2,3,4,1;D#,A#,D#,G#,A#
D#;sus4;"1;4;5";1,1,3,4,1,1;D#,G#,D#,G#,A#,D#
D#;6/9;"1;3;5;6;9";x,x,1,0,2,3;D#,F##,B#,E#
D#;6/9;"1;3;5;6;9";x,2,1,1,3,4;D#,F##,B#,E#,A#
D#;6/9;"1;3;5;6;9";2,1,1,1,3,4;D#,F##,B#,E#,A#,D#
F#;9(#5);"1;3;#5;b7;9";x,1,2,1,1,x;E,A#,C##,F#
F#;13;"1;3;5;b7;9;11;13";1,x,1,2,3,4;F#,E,A#,D#,G#
F#;13;"1;3;5;b7;9;11;13";x,2,1,3,3,4;F#,A#,E,G#,D#
F#;13;"1;3;5;b7;9;11;13";x,1,3,1,1,4;F#,C#,E,G#,D#
F#;13;"1;3;5;b7;9;11;13";1,x,2,3,4,x;F#,E,A#,D#
F#;13;"1;3;5;b7;9;11;13";x,1,3,4,2,x;E,A#,D#,F#
F#;13;"1;3;5;b7;9;11;13";x,x,1,2,2,4;A#,E,G#,D#
F#;7(#9);"1;3;5;b7;#9";2,1,3,3,3,3;F#,A#,E,G##,C#,F#
F#;7(#9);"1;3;5;b7;#9";1,3,1,2,1,4;F#,C#,E,A#,C#,G##
F#;7(#9);"1;3;5;b7;#9";x,2,1,3,4,x;F#,A#,E,G##
F#;9;"1;3;5;b7;9";x,x,2,1,3,4;E,G#,C#,F#
F#;9;"1;3;5;b7;9";x,x,1,3,2,1;F#,C#,E,G#
F#;9;"1;3;5;b7;9";x,2,1,3,4,x;F#,A#,E,G#
F#;9;"1;3;5;b7;9";x,2,1,3,3,3;F#,A#,E,G#,C#
F#;9;"1;3;5;b7;9";x,x,3,2,1,4;E,G#,A#,F#
F#;9;"1;3;5;b7;9";x,1,3,2,4,x;A#,E,G#,C#
F#;9b5;"1;3;b5;b7;9";2,1,3,1,1,4;F#,A#,E,G#,C,F#
F#;9b5;"1;3;b5;b7;9";x,x,1,2,3,1;F#,C,E,G#
F#;9b5;"1;3;b5;b7;9";1,2,1,3,4,1;C,F#,A#,E,G#,C
F#;7;"1;3;5;b7";1,3,1,2,4,1;F#,C#,E,A#,E,F#
F#;7;"1;3;5;b7";x,3,2,4,1,x;F#,A#,E,F#
F#;7;"1;3;5;b7";x,1,3,1,4,1;F#,C#,E,A#,C#
F#;7;"1;3;5;b7";1,3,1,2,1,1;F#,C#,E,A#,C#,F#
F#;7;"1;3;5;b7";1,x,2,4,3,x;F#,E,A#,C#
F#;7;"1;3;5;b7";x,x,x,2,1,3;C#,E,A#
F#;dim7;"1;b3;b5;bb7";2,4,1,3,x,x;A,Eb,F#,C
F#;dim7;"1;b3;b5;bb7";x,2,3,1,4,x;A,Eb,F#,C
F#;dim7;"1;b3;b5;bb7";x,x,1,3,2,4;Eb,A,C,F#
F#;dim7;"1;b3;b5;bb7";1,2,3,1,4,1;F#,C,F#,A,Eb,F#
F#;dim7;"1;b3;b5;bb7";2,x,1,3,1,x;F#,Eb,A,C
F#;aug;"1;3;#5";x,3,2,1,1,x;C##,F#,A#,C##
F#;aug;"1;3;#5";4,3,2,1,x,x;A#,C##,F#,A#
F#;aug;"1;3;#5";x,x,4,2,3,1;C##,F#,A#,C##
F#;aug;"1;3;#5";2,1,0,x,x,x;F#,A#,C##
F#;maj;"1;3;5";1,3,4,2,1,1;F#,C#,F#,A#,C#,F#
F#;maj;"1;3;5";x,4,3,1,2,1;F#,A#,C#,F#,A#
F#;maj;"1;3;5";x,1,3,3,3,x;F#,C#,F#,A#
F#;maj;"1;3;5";1,3,4,2,x,x;F#,C#,F#,A#
F#;maj;"1;3;5";x,x,3,1,2,x;A#,C#,F#
F#;maj;"1;3;5";2,1,x,x,x,x;F#,A#
F#;maj;"1;3;5";x,x,x,1,3,2;C#,F#,A#
F#;maj;"1;3;5";x,x,3,2,1,1;F#,A#,C#,F#
F#;maj;"1;3;5";x,x,3,3,3,x;C#,F#,A#
F#;maj;"1;3;5";1,3,x,2,x,x;F#,C#,A#
F#;maj;"1;3;5";1,4,x,x,x,x;A#,F#
F#;11;"1;3;5;b7;9;11";2,x,3,1,0,0;F#,E,G#,B,E
F#;11;"1;3;5;b7;9;11";x,x,1,1,2,1;F#,B,E,G#
F#;11;"1;3;5;b7;9;11";x,1,1,1,1,1;F#,B,E,G#,C#
F#;maj9;"1;3;5;7;9";x,x,4,1,2,1;F#,G#,C#,E#
F#;maj9;"1;3;5;7;9";x,4,1,1,1,1;F#,G#,C#,E#,A#
F#;maj9;"1;3;5;7;9";x,2,1,4,3,x;F#,A#,E#,G#
F#;m11;"1;b3;5;b7;9;11";x,3,1,4,0,0;F#,A,E,B,E
F#;m11;"1;b3;5;b7;9;11";1,3,4,1,0,0;F#,C#,F#,A,B,E
